Sistema Eléctrico Nacional
MagnitudesGWh
Fecha       01/2021           02/2021           03/2021           04/2021           05/2021           06/2021           07/2021           08/2021           09/2021           10/2021
Hidráulica  4057.346783       4517.602492       3715.416012       2745.019022       2159.483245       2182.252545       2209.464623999997 1883.260803000001 1396.698883       1023.215446
Turb.Bombeo 320.5313890000005 401.2932189999997 330.794555        153.67968         238.708927        105.706304        115.895307        159.688964        118.198104        232.112394
Nuclear     5199.740516       4358.515107       4833.065002       4197.33293        4373.250552       3684.377943       5119.328941       5151.337803       4890.618221       4748.36445700000
Carbón      557.975979        176.2667190000002 242.138946        270.100026        331.9311130000004 473.579232        311.10233         319.182668        477.087202        527.419848
Fuel_+_Gas  0                 0                 0                 0                 0                 0                 -0.000001         0                 0                 0
Mot.Diesel  203.759973        160.418085        173.283976        187.547789        178.3622999999998 206.220592        239.5768159999998 258.860338        256.964192        233.570565000000
Turbina_gas 28.766271         18.02613000000002 27.904377         24.55347699999997 24.916217         34.119217         40.565981         47.885346         71.402214         46.314807
Turb._vapor 116.282053        104.960847        100.7582590000001 70.652976         62.41677          33.48694200000006 66.13421000000001 99.64419000000001 113.2102130000001 112.484255
C.combinado 2729.183017       1544.065785       2151.091661       3384.471579       2444.871606       3658.878948       3718.134418       4047.368387       4943.197265       4407.05637
Hidroeólica 0.99317           1.226483          1.921443          0.835908          3.227077000000004 3.002042          3.578217999999997 2.663478          1.429314          1.85345499999999
Eólica      7101.249123       6294.982856       5606.818805       4095.800569       4785.695033       3684.170619       4284.090513       3747.238495       3234.274816       4359.563921
Solar_Foto. 848.4030740000001 973.686902        1688.757265       1665.571492       2388.831852       2325.571729       2617.534056       2395.8309         1927.916611       1777.274811
Solar_Térm. 102.634029        138.1813269999998 355.0154270000005 266.787519        645.5974570000001 655.361716        828.492494        661.4451019999999 447.444657        328.182894
Otras_reno. 390.590396        365.191889        359.459071        392.274795        390.9319270000003 358.010046        352.713786        410.590237        396.278098        433.047494000000
Cogenerac.  2405.236806       1838.16573        2253.823616       2193.285205       2206.328862000003 2181.276794000003 2243.226356       2106.285519       2166.255198       2147.907197
No_renov.   182.9320890000002 172.740345        184.342436        178.093968        177.333071        198.273452        205.014809        212.202012        179.817184        187.508
Resid.renov 59.850282         69.0658680000001  72.598535         74.357494         59.59506599999996 79.50385          81.91575          81.751572         68.076048         68.765996
Gener.total 24305.47495       21134.389784      22097.189386      19900.36442899997 20471.481075      19863.79197100002 22436.76860799995 21585.235814      20688.86822000004 20634.64191

